[16:03:52.856] [SEVERE ] updating countdown to 14490
[16:03:52.857] [SEVERE ] setting player 1 freeze to 4910
[16:03:52.867] [SEVERE ] updating countdown to 14479
[16:03:52.869] [SEVERE ] setting player 1 freeze to 4898
[16:03:52.879] [SEVERE ] updating countdown to 14467
[16:03:52.880] [SEVERE ] setting player 1 freeze to 4887
[16:03:52.890] [SEVERE ] updating countdown to 14456
[16:03:52.891] [SEVERE ] setting player 1 freeze to 4876
[16:03:52.902] [SEVERE ] updating countdown to 14444
[16:03:52.902] [SEVERE ] setting player 1 freeze to 4865
[16:03:52.913] [SEVERE ] updating countdown to 14433
[16:03:52.913] [SEVERE ] setting player 1 freeze to 4854
[16:03:52.924] [SEVERE ] updating countdown to 14422
[16:03:52.926] [SEVERE ] setting player 1 freeze to 4841
[16:03:52.937] [SEVERE ] updating countdown to 14409
[16:03:52.937] [SEVERE ] setting player 1 freeze to 4830
[16:03:52.948] [SEVERE ] updating countdown to 14398
[16:03:52.948] [SEVERE ] setting player 1 freeze to 4819
[16:03:52.959] [SEVERE ] updating countdown to 14387
[16:03:52.959] [SEVERE ] setting player 1 freeze to 4808
[16:03:52.970] [SEVERE ] updating countdown to 14376
[16:03:52.970] [SEVERE ] setting player 1 freeze to 4797
[16:03:52.980] [SEVERE ] updating countdown to 14366
[16:03:52.981] [SEVERE ] setting player 1 freeze to 4786
[16:03:52.993] [SEVERE ] updating countdown to 14353
[16:03:52.993] [SEVERE ] setting player 1 freeze to 4774
[16:03:53.004] [SEVERE ] updating countdown to 14342
[16:03:53.005] [SEVERE ] setting player 1 freeze to 4762
[16:03:53.016] [SEVERE ] updating countdown to 14330
[16:03:53.016] [SEVERE ] setting player 1 freeze to 4751
[16:03:53.027] [SEVERE ] updating countdown to 14319
[16:03:53.028] [SEVERE ] setting player 1 freeze to 4739
[16:03:53.038] [SEVERE ] updating countdown to 14308
[16:03:53.039] [SEVERE ] setting player 1 freeze to 4728
[16:03:53.050] [SEVERE ] updating countdown to 14296
[16:03:53.050] [SEVERE ] setting player 1 freeze to 4717
[16:03:53.060] [SEVERE ] updating countdown to 14286
[16:03:53.061] [SEVERE ] setting player 1 freeze to 4706
[16:03:53.072] [SEVERE ] updating countdown to 14274
[16:03:53.072] [SEVERE ] setting player 1 freeze to 4695
[16:03:53.083] [SEVERE ] updating countdown to 14263
[16:03:53.083] [SEVERE ] setting player 1 freeze to 4684
[16:03:53.094] [SEVERE ] updating countdown to 14252
[16:03:53.095] [SEVERE ] setting player 1 freeze to 4672
[16:03:53.105] [SEVERE ] updating countdown to 14241
[16:03:53.105] [SEVERE ] setting player 1 freeze to 4662
[16:03:53.116] [SEVERE ] updating countdown to 14230
[16:03:53.116] [SEVERE ] setting player 1 freeze to 4651
[16:03:53.126] [SEVERE ] updating countdown to 14220
[16:03:53.127] [SEVERE ] setting player 1 freeze to 4640
[16:03:53.137] [SEVERE ] updating countdown to 14209
[16:03:53.137] [SEVERE ] setting player 1 freeze to 4630
[16:03:53.148] [SEVERE ] updating countdown to 14198
[16:03:53.148] [SEVERE ] setting player 1 freeze to 4619
[16:03:53.158] [SEVERE ] updating countdown to 14188
[16:03:53.159] [SEVERE ] setting player 1 freeze to 4608
[16:03:53.169] [SEVERE ] updating countdown to 14177
[16:03:53.169] [SEVERE ] setting player 1 freeze to 4598
[16:03:53.180] [SEVERE ] updating countdown to 14166
[16:03:53.180] [SEVERE ] setting player 1 freeze to 4587
[16:03:53.191] [SEVERE ] updating countdown to 14155
[16:03:53.191] [SEVERE ] setting player 1 freeze to 4576
[16:03:53.202] [SEVERE ] updating countdown to 14144
[16:03:53.202] [SEVERE ] setting player 1 freeze to 4565
[16:03:53.213] [SEVERE ] updating countdown to 14133
[16:03:53.213] [SEVERE ] setting player 1 freeze to 4554
[16:03:53.224] [SEVERE ] updating countdown to 14122
[16:03:53.224] [SEVERE ] setting player 1 freeze to 4543
[16:03:53.234] [SEVERE ] updating countdown to 14112
[16:03:53.235] [SEVERE ] setting player 1 freeze to 4532
[16:03:53.245] [SEVERE ] updating countdown to 14101
[16:03:53.246] [SEVERE ] setting player 1 freeze to 4521
[16:03:53.256] [SEVERE ] updating countdown to 14090
[16:03:53.275] [SEVERE ] setting player 1 freeze to 4492
[16:03:53.286] [SEVERE ] updating countdown to 14060
[16:03:53.287] [SEVERE ] setting player 1 freeze to 4480
[16:03:53.297] [SEVERE ] updating countdown to 14049
[16:03:53.346] [SEVERE ] setting player 1 freeze to 4421
[16:03:53.356] [SEVERE ] updating countdown to 13990
[16:03:53.357] [SEVERE ] setting player 1 freeze to 4410
[16:03:53.368] [SEVERE ] updating countdown to 13978
[16:03:53.369] [SEVERE ] setting player 1 freeze to 4398
[16:03:53.379] [SEVERE ] updating countdown to 13967
[16:03:53.380] [SEVERE ] setting player 1 freeze to 4387
[16:03:53.391] [SEVERE ] updating countdown to 13955
[16:03:53.391] [SEVERE ] setting player 1 freeze to 4376
[16:03:53.402] [SEVERE ] updating countdown to 13944
[16:03:53.402] [SEVERE ] setting player 1 freeze to 4365
[16:03:53.413] [SEVERE ] updating countdown to 13933
[16:03:53.413] [SEVERE ] setting player 1 freeze to 4354
[16:03:53.424] [SEVERE ] updating countdown to 13922
[16:03:53.425] [SEVERE ] setting player 1 freeze to 4342
[16:03:53.435] [SEVERE ] updating countdown to 13911
[16:03:53.436] [SEVERE ] setting player 1 freeze to 4331
[16:03:53.446] [SEVERE ] updating countdown to 13900
[16:03:53.447] [SEVERE ] setting player 1 freeze to 4320
[16:03:53.457] [SEVERE ] updating countdown to 13889
[16:03:53.457] [SEVERE ] setting player 1 freeze to 4310
[16:03:53.468] [SEVERE ] updating countdown to 13878
[16:03:53.469] [SEVERE ] setting player 1 freeze to 4298
[16:03:53.479] [SEVERE ] updating countdown to 13867
[16:03:53.479] [SEVERE ] setting player 1 freeze to 4288
[16:03:53.490] [SEVERE ] updating countdown to 13856
[16:03:53.490] [SEVERE ] setting player 1 freeze to 4277
[16:03:53.501] [SEVERE ] updating countdown to 13845
[16:03:53.501] [SEVERE ] setting player 1 freeze to 4266
[16:03:53.512] [SEVERE ] updating countdown to 13834
[16:03:53.512] [SEVERE ] setting player 1 freeze to 4255
[16:03:53.522] [SEVERE ] updating countdown to 13824
[16:03:53.523] [SEVERE ] setting player 1 freeze to 4244
[16:03:53.533] [SEVERE ] updating countdown to 13813
[16:03:53.533] [SEVERE ] setting player 1 freeze to 4234
[16:03:53.544] [SEVERE ] updating countdown to 13802
[16:03:53.544] [SEVERE ] setting player 1 freeze to 4223
[16:03:53.555] [SEVERE ] updating countdown to 13791
[16:03:53.555] [SEVERE ] setting player 1 freeze to 4212
[16:03:53.566] [SEVERE ] updating countdown to 13780
[16:03:53.566] [SEVERE ] setting player 1 freeze to 4201
[16:03:53.577] [SEVERE ] updating countdown to 13769
[16:03:53.577] [SEVERE ] setting player 1 freeze to 4190
[16:03:53.588] [SEVERE ] updating countdown to 13758
[16:03:53.588] [SEVERE ] setting player 1 freeze to 4179
[16:03:53.599] [SEVERE ] updating countdown to 13747
[16:03:53.600] [SEVERE ] setting player 1 freeze to 4167
[16:03:53.610] [SEVERE ] updating countdown to 13736
[16:03:53.611] [SEVERE ] setting player 1 freeze to 4156
[16:03:53.623] [SEVERE ] updating countdown to 13723
[16:03:53.623] [SEVERE ] setting player 1 freeze to 4144
[16:03:53.633] [SEVERE ] updating countdown to 13713
[16:03:53.634] [SEVERE ] setting player 1 freeze to 4133
[16:03:53.644] [SEVERE ] updating countdown to 13702
[16:03:53.645] [SEVERE ] setting player 1 freeze to 4122
[16:03:53.656] [SEVERE ] updating countdown to 13690
[16:03:53.656] [SEVERE ] setting player 1 freeze to 4111
[16:03:53.667] [SEVERE ] updating countdown to 13679
[16:03:53.667] [SEVERE ] setting player 1 freeze to 4100
[16:03:53.677] [SEVERE ] updating countdown to 13669
[16:03:53.678] [SEVERE ] setting player 1 freeze to 4089
[16:03:53.688] [SEVERE ] updating countdown to 13658
[16:03:53.689] [SEVERE ] setting player 1 freeze to 4078
[16:03:53.699] [SEVERE ] updating countdown to 13647
[16:03:53.700] [SEVERE ] setting player 1 freeze to 4067
[16:03:53.710] [SEVERE ] updating countdown to 13636
[16:03:53.711] [SEVERE ] setting player 1 freeze to 4056
[16:03:53.721] [SEVERE ] updating countdown to 13625
[16:03:53.722] [SEVERE ] setting player 1 freeze to 4045
[16:03:53.732] [SEVERE ] updating countdown to 13614
[16:03:53.733] [SEVERE ] setting player 1 freeze to 4034
[16:03:53.743] [SEVERE ] updating countdown to 13603
[16:03:53.744] [SEVERE ] setting player 1 freeze to 4023
[16:03:53.754] [SEVERE ] updating countdown to 13592
[16:03:53.755] [SEVERE ] setting player 1 freeze to 4012
[16:03:53.765] [SEVERE ] updating countdown to 13581
[16:03:53.765] [SEVERE ] setting player 1 freeze to 4002
[16:03:53.776] [SEVERE ] updating countdown to 13570
[16:03:53.776] [SEVERE ] setting player 1 freeze to 3991
[16:03:53.787] [SEVERE ] updating countdown to 13559
[16:03:53.788] [SEVERE ] setting player 1 freeze to 3979
[16:03:53.798] [SEVERE ] updating countdown to 13548
[16:03:53.799] [SEVERE ] setting player 1 freeze to 3968
[16:03:53.809] [SEVERE ] updating countdown to 13537
[16:03:53.809] [SEVERE ] setting player 1 freeze to 3958
[16:03:53.819] [SEVERE ] updating countdown to 13527
[16:03:53.820] [SEVERE ] setting player 1 freeze to 3947
[16:03:53.830] [SEVERE ] updating countdown to 13516
[16:03:53.830] [SEVERE ] setting player 1 freeze to 3937
[16:03:53.840] [SEVERE ] updating countdown to 13506
[16:03:53.841] [SEVERE ] setting player 1 freeze to 3926
[16:03:53.851] [SEVERE ] updating countdown to 13495
[16:03:53.851] [SEVERE ] setting player 1 freeze to 3916
[16:03:53.862] [SEVERE ] updating countdown to 13484
